S.No.,ID,Title,Artists,Album,Release Date,Duration,Popularity,Genre
1,1skD49xUwXnHLMrlEKTo6j,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya","Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"") - Single",2023-05-16,266.075,68,R&B
2,4kIPlpwEZBK9JaI9pZHe79,Kesariya,"Pritam, Arijit Singh, Amitabh Bhattacharya",Brahmastra (Original Motion Picture Soundtrack),2022-10-06,268.164,78,Classical
3,7BE0KM7dc0f4MX6Kc6kCuN,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya","Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-06-28,277.5,64,Hip Hop
4,5Wm1nhxZqx7i0Hp6ZBqe9T,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",Love Forever With Arijit Singh,2017-06-07,341.054,78,Classical
5,7kXEDaT5yy8IUT7Fmqs1i2,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")","Pritam, Arijit Singh, Amitabh Bhattacharya","O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",2023-03-04,313.051,83,Pop
6,4mrXgKhegKi7Ol4pdN4z3Q,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Jonita Gandhi, Ranveer Singh, Madan Mohan, Amitabh Bhattacharya","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,213.611,66,R&B
7,5uAi4ZZc7zRdd6PsKNcJXO,Tere Pyaar Mein,"Pritam, Arijit Singh, Amitabh Bhattacharya, Nikhita Gandhi","Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",2023-02-01,266.094,82,Classical
8,3I8PdIhk6pNm8Kv0HiF14V,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,284.779,77,Pop
9,6IXfWhC7omotM4lt0ROmEr,Shayad,"Pritam, Arijit Singh",Love Aaj Kal (Original Motion Picture Soundtrack),2020-02-14,247.941,78,R&B
10,1lZk7TnMgvS3mSlfeWW1b3,"Tere Hawaale (From ""Laal Singh Chaddha"")","Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")",2022-08-04,346.29,79,Classical
